PB
PX
PCK
FL
SA
AB
TR
VA
SF
I
B
C
S
GBY
F
L
D
GSH
X
VO
+
+v
++
-
-v
--
M
MV
Q
QV
P
PV
V
E
NE
>
<
>E
<E
N
AA
OO
XO
UY
RS
RRS
LS
AV
OV
